fft2,fft3,fft4,fft5,fft6,fft7,fft8,fft9,fft10,fft11,fft12,fft13,fft14,fft15,fft16,fft17,fft18,fft19,fft20
37.4392220421394,34.2382495948136,37.1961102106969,36.4667747163695,36.2641815235008,36.3047001620746,37.4392220421394,35.291734197731,36.1021069692058,34.5218800648298,35.5753646677472,36.6693679092382,38.4927066450567,34.6029173419773,37.9254457050243,34.4813614262561,34.2382495948136,37.1150729335494,38.0875202593193
52.7957860615883,52.7957860615883,53.4440842787682,52.3500810372772,52.6337115072934,51.2560777957861,52.2285251215559,50.6482982171799,51.2560777957861,52.1069692058347,52.9173419773096,52.5931928687196,53.322528363047,51.6612641815235,54.7001620745543,54.2949756888169,54.740680713128,53.8897893030794,54.0113452188007
57.6580226904376,59.6029173419773,59.2787682333874,57.0502431118314,57.9011345218801,57.5769854132901,57.0097244732577,56.2398703403566,57.4149108589951,59.1166936790924,58.9141004862237,57.9011345218801,58.6304700162075,58.4683954619125,59.4408427876823,60.0486223662885,60.6564019448947,59.3192868719611,60.6564019448947
59.6434359805511,62.2366288492707,63.8978930307942,60.3727714748784,60.8184764991896,59.6029173419773,60.7779578606159,60.4538087520259,61.1831442463533,60.8589951377634,62.7228525121556,61.9529983792545,63.2495948136143,63.2495948136143,65.032414910859,63.7358184764992,63.9789303079417,62.8849270664506,63.452188006483
61.871961102107,65.032414910859,64.4246353322528,62.7633711507293,64.7487844408428,63.0875202593193,64.1004862236629,65.2350081037277,64.6272285251216,63.8168557536467,65.5996758508914,64.1410048622366,65.8022690437601,65.6807131280389,66.7341977309562,65.8427876823339,65.9238249594814,66.2884927066451,66.6531604538088
62.8444084278768,64.5056726094003,66.1669367909238,63.9789303079417,66.2884927066451,65.194489465154,65.8022690437601,66.45056726094,66.77471636953,65.5186385737439,66.0858995137763,66.3695299837926,66.8962722852512,67.3824959481361,67.8282009724473,67.2609400324149,68.1118314424635,67.6256077795786,66.77471636953
66.0048622366289,67.2204213938412,66.6936790923825,66.2479740680713,67.4230145867099,67.3419773095624,66.612641815235,65.9238249594814,67.4635332252836,66.3290113452188,67.5850891410049,66.5316045380875,67.8282009724473,68.030794165316,68.6385737439222,69.1653160453809,68.8816855753647,69.0437601296596,68.3144246353323
66.6936790923825,67.7876823338736,68.8006482982172,66.77471636953,67.9497568881686,68.679092382496,67.9497568881686,68.1523500810373,68.9222042139384,67.9497568881686,68.3144246353323,68.1118314424635,68.9222042139384,69.5705024311183,69.3273905996759,69.1653160453809,69.4489465153971,69.1653160453809,68.5575364667747
66.1264181523501,69.4489465153971,70.1377633711507,69.5705024311183,68.4764991896272,69.6920583468395,69.2463533225284,68.6385737439222,69.0032414910859,69.4084278768233,67.9092382495948,68.3954619124797,69.1247974068071,69.773095623987,69.9756888168558,69.0842787682334,69.773095623987,69.8946515397083,69.8946515397083
69.3679092382496,70.097244732577,69.2868719611021,69.0437601296596,70.259319286872,69.2463533225284,69.1247974068071,68.3954619124797,69.0032414910859,69.6110210696921,70.0162074554295,69.5705024311183,70.0567260940032,70.4213938411669,70.259319286872,70.6645056726094,70.1377633711507,70.4213938411669,71.0291734197731
68.517017828201,70.2998379254457,70.7860615883306,69.9756888168558,69.5705024311183,70.5429497568882,69.4084278768233,69.773095623987,69.6920583468395,70.4213938411669,70.4213938411669,70.2188006482982,70.5834683954619,70.3808752025932,70.1377633711507,71.1102106969206,70.9886547811994,71.5559157212318,70.8265802269044
69.773095623987,71.2317666126418,71.3938411669368,71.1102106969206,70.7455429497569,70.7455429497569,70.8265802269044,70.3808752025932,70.4619124797407,69.6110210696921,70.8670988654781,71.1507293354943,70.7860615883306,71.0291734197731,71.1507293354943,71.4748784440843,71.1912479740681,71.4343598055105,71.3938411669368
70.5429497568882,71.1102106969206,72.001620745543,71.3938411669368,71.6369529983793,71.0696920583469,70.7860615883306,70.7455429497569,71.2317666126418,70.7455429497569,70.9076175040519,71.1102106969206,70.9076175040519,72.1231766612642,72.6499189627229,71.9611021069692,72.001620745543,71.839546191248,71.2722852512156
72.0826580226904,72.4068071312804,72.3662884927066,71.0291734197731,71.8800648298217,72.0826580226904,70.8670988654781,71.1102106969206,71.5964343598055,71.2722852512156,71.7585089141005,72.001620745543,71.7990275526742,72.7309562398703,71.6369529983793,72.5283630470016,72.0826580226904,71.677471636953,72.001620745543
71.1102106969206,72.4878444084279,71.839546191248,72.4473257698541,72.8930307941653,72.4068071312804,71.839546191248,71.2722852512156,71.9205834683955,71.677471636953,71.5964343598055,72.1636952998379,71.7990275526742,72.4473257698541,73.0551053484603,72.7309562398703,72.001620745543,73.0551053484603,72.9740680713128
73.1361426256078,72.9335494327391,72.8930307941653,72.8525121555916,72.9740680713128,71.5964343598055,72.7309562398703,72.3257698541329,71.7585089141005,71.9611021069692,72.6904376012966,72.8119935170178,72.8930307941653,73.1766612641815,73.0145867098865,73.257698541329,73.0551053484603,73.581847649919,73.7844408427877
72.9335494327391,73.257698541329,73.5413290113452,73.9059967585089,73.6628849270665,73.1766612641815,72.9335494327391,73.1361426256078,72.2042139384117,72.8525121555916,73.0145867098865,73.2171799027553,72.5688816855754,73.7844408427877,73.7439222042139,73.2982171799028,73.9870340356564,74.1085899513776,73.2982171799028
72.8525121555916,73.6223662884927,72.7714748784441,73.581847649919,73.7844408427877,73.1766612641815,72.7309562398703,72.6094003241491,72.9740680713128,72.3662884927066,72.3257698541329,72.5688816855754,73.6628849270665,74.5542949756888,73.3792544570502,73.8654781199352,73.9870340356564,73.9059967585089,73.8249594813614
73.2982171799028,73.9465153970827,73.7844408427877,73.257698541329,73.7439222042139,73.6223662884927,72.4473257698541,73.5008103727715,72.9335494327391,73.0551053484603,72.9740680713128,74.0680713128039,73.581847649919,74.2301458670989,74.0680713128039,74.4732576985413,74.1085899513776,74.0275526742302,74.1085899513776
73.9870340356564,74.0275526742302,74.3922204213938,73.6628849270665,74.5948136142626,73.9059967585089,73.8654781199352,73.3387358184765,73.419773095624,73.7034035656402,73.5008103727715,73.7844408427877,74.2706645056726,74.3517017828201,75,74.5542949756888,74.3111831442464,74.3517017828201,73.9870340356564
74.2706645056726,74.5948136142626,74.3517017828201,74.8784440842788,74.9594813614263,74.4327390599676,74.1491085899514,73.3387358184765,73.9059967585089,73.257698541329,73.6223662884927,73.8654781199352,74.9189627228525,74.9594813614263,75.0810372771475,75.1215559157212,74.9594813614263,74.2301458670989,74.4732576985413
