fft2,fft3,fft4,fft5,fft6,fft7,fft8,fft9,fft10,fft11,fft12,fft13,fft14,fft15,fft16,fft17,fft18,fft19,fft20
37.3987034035656,36.2236628849271,39.3435980551053,39.1815235008104,38.3306320907617,39.9918962722853,42.1393841166937,37.7228525121556,39.3841166936791,39.8298217179903,39.7487844408428,39.1410048622366,39.3841166936791,40.4376012965964,39.5867098865478,40.4376012965964,36.0615883306321,35.0081037277147,38.8978930307942
50.8508914100486,55.1863857374392,55.9157212317666,55.5915721231767,56.1588330632091,56.5235008103728,57.2933549432739,55.0243111831442,57.9416531604538,56.5640194489465,56.9286871961102,55.4700162074554,56.4019448946515,58.1847649918963,56.969205834684,56.4424635332253,55.226904376013,55.4700162074554,55.8346839546191
57.2123176661264,60.4132901134522,60.9805510534846,60.5753646677472,61.9529983792545,63.0875202593193,61.871961102107,62.1555915721232,61.8314424635332,60.8589951377634,62.5202593192869,62.1555915721232,61.2236628849271,61.9935170178282,61.1426256077796,61.871961102107,60.8995137763371,59.805510534846,61.6693679092383
60.129659643436,64.3841166936791,65.3160453808752,64.0599675850891,65.0729335494327,66.2884927066451,64.9513776337115,64.7487844408428,65.7617504051864,65.5186385737439,64.9513776337115,64.8298217179903,64.1410048622366,64.5056726094003,64.1815235008104,63.5332252836305,64.6677471636953,64.708265802269,64.3841166936791
61.709886547812,66.936790923825,67.2609400324149,65.4376012965964,67.2609400324149,67.8282009724473,66.4100486223663,66.2074554294976,67.5445705024311,67.0178282009725,67.1799027552674,66.5721231766613,65.356564019449,66.0858995137763,65.8427876823339,65.9238249594814,65.8022690437601,65.9643435980551,65.6401944894652
62.8444084278768,68.517017828201,68.8411669367909,67.7066450567261,68.8816855753647,68.679092382496,68.517017828201,67.2609400324149,68.679092382496,68.2333873581848,68.3954619124797,68.2333873581848,67.1393841166937,66.9773095623987,67.5445705024311,67.5445705024311,66.8557536466775,67.4635332252836,67.4230145867099
64.8298217179903,69.5705024311183,70.5834683954619,69.6920583468395,70.2188006482982,69.3273905996759,68.8411669367909,68.6385737439222,69.3273905996759,69.4489465153971,69.1247974068071,69.6110210696921,68.4764991896272,68.5575364667747,68.517017828201,69.0437601296596,68.4764991896272,68.2333873581848,68.7601296596434
66.0858995137763,71.2722852512156,71.0696920583469,70.1782820097245,70.7050243111831,70.3403565640194,70.3403565640194,69.0437601296596,69.7325769854133,69.1653160453809,69.6515397082658,70.6239870340357,69.0437601296596,68.679092382496,70.5024311183144,69.5299837925446,69.5299837925446,69.4894651539708,68.3144246353323
66.936790923825,71.839546191248,72.2852512155592,71.9205834683955,71.9611021069692,70.7860615883306,70.9886547811994,70.9076175040519,70.6645056726094,71.1507293354943,70.5024311183144,71.7179902755268,70.6239870340357,70.5429497568882,69.935170178282,70.4619124797407,69.3273905996759,69.9756888168558,70.3808752025932
69.5705024311183,72.3257698541329,71.7990275526742,72.7309562398703,72.6499189627229,72.2042139384117,71.515397082658,71.1507293354943,71.7179902755268,71.0291734197731,70.9481361426256,72.1636952998379,70.7050243111831,70.7860615883306,70.3808752025932,70.5834683954619,70.6239870340357,70.4619124797407,70.5024311183144
69.0032414910859,72.8525121555916,73.4602917341977,72.6094003241491,72.6094003241491,72.5283630470016,71.1507293354943,71.7585089141005,71.9611021069692,69.8541329011345,71.515397082658,72.7309562398703,70.8265802269044,71.9611021069692,71.7585089141005,71.839546191248,71.2722852512156,71.5559157212318,71.0291734197731
70.7050243111831,73.2982171799028,73.9870340356564,74.6758508914101,73.257698541329,73.1766612641815,71.7585089141005,72.6499189627229,71.839546191248,72.5688816855754,72.6094003241491,72.8930307941653,72.4068071312804,72.2852512155592,71.4748784440843,72.5688816855754,71.3128038897893,72.2852512155592,71.1912479740681
70.6645056726094,73.6223662884927,75.162074554295,74.4327390599676,74.5542949756888,74.0275526742302,72.5688816855754,72.9740680713128,72.4878444084279,72.4878444084279,72.4068071312804,72.7714748784441,72.6904376012966,73.095623987034,72.0421393841167,73.1361426256078,72.2852512155592,71.9205834683955,72.3662884927066
71.5559157212318,74.6353322528363,75.162074554295,75.2836304700162,74.5137763371151,73.8249594813614,73.7844408427877,73.419773095624,73.5413290113452,73.8654781199352,73.7844408427877,74.3517017828201,73.3387358184765,73.5413290113452,72.7309562398703,73.1361426256078,72.5688816855754,73.5413290113452,73.095623987034
