gkde2,gkde3,gkde4,gkde5,gkde6,gkde7,gkde8,gkde9,gkde10,gkde11,gkde12,gkde13,gkde14,gkde15,gkde16,gkde17,gkde18,gkde19,gkde20
39.4651539708266,39.9918962722853,35.4538087520259,37.3581847649919,37.4797406807131,38.290113452188,33.4278768233387,37.6418152350081,35.291734197731,39.2625607779579,36.2641815235008,40.194489465154,36.9124797406807,41.2479740680713,39.5867098865478,38.8168557536467,35.4538087520259,38.9789303079417,37.5607779578606
57.1312803889789,58.8330632090762,56.6855753646678,56.7666126418152,57.6580226904376,56.7260940032415,56.482982171799,56.1993517017828,56.6855753646678,55.9562398703404,56.5640194489465,57.6985413290114,54.9837925445705,57.2933549432739,56.1993517017828,56.6855753646678,52.4716369529984,55.8752025931929,56.5235008103728
64.5461912479741,65.194489465154,64.2625607779579,63.5332252836305,65.5996758508914,64.5056726094003,63.7763371150729,64.6677471636953,64.1004862236629,62.4392220421394,63.6547811993517,64.1410048622366,62.6418152350081,62.3176661264182,61.8314424635332,61.0615883306321,61.3452188006483,60.9400324149109,62.4392220421394
69.9756888168558,71.2722852512156,70.2188006482982,68.8006482982172,69.2058346839546,68.030794165316,69.6110210696921,68.517017828201,67.9902755267423,67.2204213938412,67.3419773095624,66.612641815235,67.7066450567261,66.8557536466775,66.7341977309562,66.5721231766613,66.2479740680713,66.7341977309562,66.0858995137763
72.8119935170178,72.6094003241491,71.5559157212318,70.7050243111831,71.839546191248,71.1507293354943,70.259319286872,70.097244732577,69.6920583468395,69.4084278768233,69.3273905996759,70.0567260940032,70.4213938411669,69.2058346839546,69.3679092382496,69.5299837925446,68.679092382496,68.5980551053485,69.4894651539708
74.3111831442464,74.5948136142626,74.5542949756888,73.8249594813614,73.2982171799028,72.6904376012966,72.2042139384117,72.3662884927066,71.3938411669368,70.8670988654781,70.7050243111831,70.7455429497569,71.2722852512156,71.7990275526742,71.1102106969206,71.4748784440843,70.1782820097245,70.259319286872,70.1377633711507
76.0940032414911,75.2836304700162,75.6888168557536,74.837925445705,75.2836304700162,73.7844408427877,73.9465153970827,72.6904376012966,72.8525121555916,73.1361426256078,72.8930307941653,71.9611021069692,72.2447325769854,72.4878444084279,73.0145867098865,72.1636952998379,71.9611021069692,71.3938411669368,72.0826580226904
77.3095623987034,77.4716369529984,76.2560777957861,75.1215559157212,76.3371150729335,75.6077795786062,74.7974068071313,74.0680713128039,74.6758508914101,74.3111831442464,73.2171799027553,72.7309562398703,73.5008103727715,73.419773095624,73.7439222042139,73.095623987034,72.8119935170178,72.0826580226904,72.3257698541329
78.2414910858995,78.4035656401945,77.5526742301459,76.742301458671,76.580226904376,76.7017828200973,75.3241491085899,75.9319286871961,75,74.7568881685575,74.3111831442464,74.2706645056726,75.2025931928687,74.7163695299838,74.5948136142626,73.5008103727715,73.2982171799028,73.7034035656402,74.3922204213938
79.2544570502431,79.1734197730956,77.4311183144246,77.3905996758509,77.9173419773096,77.2690437601297,76.0534846029173,75.8914100486224,75.7293354943274,75.5267423014587,75.2431118314425,74.8784440842788,75.162074554295,75.162074554295,74.837925445705,75.4051863857374,75.6888168557536,73.8249594813614,74.2706645056726
